Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Topic
transformers,huggingface,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,Python,2018-10-29T13:56:00Z,2024-10-09T19:21:16Z,133123,26579,1409,Apache License 2.0,nlp
ailearning,apachecn,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,https://github.com/apachecn/ailearning,Python,2017-02-25T08:53:02Z,2024-10-09T17:03:22Z,39249,11421,4,Other,nlp
bert,google-research,TensorFlow code and pre-trained models for BERT,https://github.com/google-research/bert,Python,2018-10-25T22:57:34Z,2024-10-09T17:11:22Z,37979,9579,887,Apache License 2.0,nlp
AI-For-Beginners,microsoft,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,Jupyter Notebook,2021-03-03T16:27:36Z,2024-10-09T17:56:24Z,34380,5747,57,MIT License,nlp
HanLP,hankcs,"Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification",https://github.com/hankcs/HanLP,Python,2014-10-09T06:36:16Z,2024-10-09T16:00:02Z,33649,10051,13,Apache License 2.0,nlp
spaCy,explosion,💫 Industrial-strength Natural Language Processing (NLP) in Python,https://github.com/explosion/spaCy,Python,2014-07-03T15:15:40Z,2024-10-09T19:11:48Z,29807,4370,147,MIT License,nlp
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,500 AI Machine learning Deep learning Computer vision NLP Projects with code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,,2021-01-02T12:08:37Z,2024-10-09T17:47:57Z,19961,5094,41,No License,nlp
unilm,microsoft,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",https://github.com/microsoft/unilm,Python,2019-07-23T04:15:28Z,2024-10-09T18:05:43Z,19724,2512,614,MIT License,nlp
datasets,huggingface,"🤗 The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools",https://github.com/huggingface/datasets,Python,2020-03-26T09:23:22Z,2024-10-09T16:04:12Z,19120,2659,752,Apache License 2.0,nlp
ragflow,infiniflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,https://github.com/infiniflow/ragflow,Python,2023-12-12T06:13:13Z,2024-10-09T19:23:10Z,18859,1916,485,Apache License 2.0,nlp
